year,     event,     actor,     movie,     role,     won
1949,     (22nd) best actor,     Kirk Douglas,     Champion,     Michael "Midge" Kelly,     False
1949,     (22nd) best actor,     Gregory Peck,     Twelve O'Clock High,     Brig. General Frank Savage,     False
1949,     (22nd) best actor,     Richard Todd,     The Hasty Heart,     Cpl. Lachlan "Lachie" MacLachlan,     False
1949,     (22nd) best actor,     John Wayne,     Sands of Iwo Jima,     Sergeant John M. Stryker,     False
2011,     (84th) best actor,     Jean Dujardin,     The Artist,     George Valentin,     True
2011,     (84th) best actor,     Demián Bichir,     A Better Life,     Carlos Galindo,     False
2011,     (84th) best actor,     George Clooney,     The Descendants,     Matthew King,     False
2011,     (84th) best actor,     Gary Oldman,     Tinker Tailor Soldier Spy,     George Smiley,     False
2011,     (84th) best actor,     Brad Pitt,     Moneyball,     Billy Beane,     False
1948,     (21st) best actor,     Laurence Olivier,     Hamlet,     Hamlet, Prince of Denmark,     True
1948,     (21st) best actor,     Lew Ayres,     Johnny Belinda,     Dr. Robert Richardson,     False
1948,     (21st) best actor,     Montgomery Clift,     The Search,     Ralph "Steve" Stevenson,     False
1948,     (21st) best actor,     Dan Dailey,     When My Baby Smiles at Me,     "Skid" Johnson,     False
1948,     (21st) best actor,     Clifton Webb,     Sitting Pretty,     Lynn Aloysius Belvedere,     False
1950,     (23rd) best actor,     José Ferrer,     Cyrano de Bergerac,     Cyrano de Bergerac,     True
1950,     (23rd) best actor,     Louis Calhern,     The Magnificent Yankee,     Oliver Wendell Holmes,     False
1950,     (23rd) best actor,     William Holden,     Sunset Boulevard,     Joe Gillis,     False
1950,     (23rd) best actor,     James Stewart,     Harvey,     Elwood P. Dowd,     False
1950,     (23rd) best actor,     Spencer Tracy,     Father of the Bride,     Stanley T. Banks,     False
1979,     (52nd) best actor,     Dustin Hoffman,     Kramer vs. Kramer,     Ted Kramer,     True
1979,     (52nd) best actor,     Jack Lemmon,     The China Syndrome,     Jack Godell,     False
1979,     (52nd) best actor,     Al Pacino,     ...And Justice for All,     Arthur Kirkland,     False
1979,     (52nd) best actor,     Roy Scheider,     All That Jazz,     Joe Gideon,     False
1979,     (52nd) best actor,     Peter Sellers,     Being There,     Chance the Gardener, aka Chauncey Gardiner,     False
1980,     (53rd) best actor,     Robert De Niro,     Raging Bull,     Jake LaMotta,     True
1980,     (53rd) best actor,     Robert Duvall,     The Great Santini,     Lieutenant Colonel Wilbur "Bull" Meechum,     False
1980,     (53rd) best actor,     John Hurt,     The Elephant Man,     John Merrick,     False
1980,     (53rd) best actor,     Jack Lemmon,     Tribute,     Scottie Templeton,     False
1980,     (53rd) best actor,     Peter O'Toole,     The Stunt Man,     Eli Cross,     False
1947,     (20th) best actor,     Ronald Colman,     A Double Life,     Anthony John,     True
1947,     (20th) best actor,     John Garfield,     Body and Soul,     Charlie Davis,     False
1947,     (20th) best actor,     Gregory Peck,     Gentleman's Agreement,     Philip Schuyler Green,     False
1947,     (20th) best actor,     William Powell,     Life with Father,     Clarence Day, Sr.,     False
1947,     (20th) best actor,     Michael Redgrave,     Mourning Becomes Electra,     Orin Mannon,     False
1967,     (40th) best actor,     Rod Steiger,     In the Heat of the Night,     Police Chief Bill Gillespie,     True
1967,     (40th) best actor,     Warren Beatty,     Bonnie and Clyde,     Clyde Barrow,     False
1967,     (40th) best actor,     Dustin Hoffman,     The Graduate,     Benjamin Braddock,     False
1967,     (40th) best actor,     Paul Newman,     Cool Hand Luke,     Lucas "Cool Hand Luke" Jackson,     False
1967,     (40th) best actor,     Spencer Tracy,     Guess Who's Coming to Dinner,     Matt Drayton,     False
1951,     (24th) best actor,     Humphrey Bogart,     The African Queen,     Charlie Allnut,     True
1951,     (24th) best actor,     Marlon Brando,     A Streetcar Named Desire,     Stanley Kowalski,     False
1951,     (24th) best actor,     Montgomery Clift,     A Place in the Sun,     George Eastman,     False
1951,     (24th) best actor,     Arthur Kennedy,     Bright Victory,     Larry Nevins,     False
1951,     (24th) best actor,     Fredric March,     Death of a Salesman,     Willy Loman,     False
2010,     (83rd) best actor,     Colin Firth,     The King's Speech,     King George VI,     True
2010,     (83rd) best actor,     Javier Bardem,     Biutiful,     Uxbal,     False
2010,     (83rd) best actor,     Jeff Bridges,     True Grit,     Reuben "Rooster" Cogburn,     False
2010,     (83rd) best actor,     Jesse Eisenberg,     The Social Network,     Mark Zuckerberg,     False
2010,     (83rd) best actor,     James Franco,     127 Hours,     Aron Ralston,     False
1955,     (28th) best actor,     Ernest Borgnine,     Marty,     Marty Piletti,     True
1955,     (28th) best actor,     James Cagney,     Love Me or Leave Me,     Martin Snyder,     False
1955,     (28th) best actor,     James Dean,     East of Eden,     Cal Trask,     False
1955,     (28th) best actor,     Frank Sinatra,     The Man with the Golden Arm,     Frankie Machine,     False
1955,     (28th) best actor,     Spencer Tracy,     Bad Day at Black Rock,     John J. Macreedy,     False
2006,     (79th) best actor,     Forest Whitaker,     The Last King of Scotland,     Idi Amin,     True
2006,     (79th) best actor,     Leonardo DiCaprio,     Blood Diamond,     Danny Archer,     False
2006,     (79th) best actor,     Ryan Gosling,     Half Nelson,     Dan Dunne,     False
2006,     (79th) best actor,     Peter O'Toole,     Venus,     Maurice,     False
2006,     (79th) best actor,     Will Smith,     The Pursuit of Happyness,     Chris Gardner,     False
2012,     (85th) best actor,     Daniel Day-Lewis,     Lincoln,     Abraham Lincoln,     True
2012,     (85th) best actor,     Bradley Cooper,     Silver Linings Playbook,     Patrizio "Pat" Solitano, Jr.,     False
2012,     (85th) best actor,     Hugh Jackman,     Les Misérables,     Jean Valjean,     False
2012,     (85th) best actor,     Joaquin Phoenix,     The Master,     Freddie Quell,     False
2012,     (85th) best actor,     Denzel Washington,     Flight,     William "Whip" Whitaker, Sr.,     False
1958,     (31st) best actor,     David Niven,     Separate Tables,     Major Angus Pollock,     True
1958,     (31st) best actor,     Tony Curtis,     The Defiant Ones,     John 'Joker' Jackson,     False
1958,     (31st) best actor,     Paul Newman,     Cat on a Hot Tin Roof,     Brick Pollitt,     False
1958,     (31st) best actor,     Sidney Poitier,     The Defiant Ones,     Noah Cullen,     False
1958,     (31st) best actor,     Spencer Tracy,     The Old Man and the Sea,     The Old Man,     False
1988,     (61st) best actor,     Dustin Hoffman,     Rain Man,     Raymond Babbitt,     True
